run_id,region_code,sido_name,sigungu_name,service,resource_type,strategy,demand_value,baseline_resource,allocated_resource,after_resource,current_supply_rate,after_supply_rate,continuous_gap,after_gap,integer_need,after_integer_need,provider_missing,after_provider_missing,allocation_order,allocation_reason
20260727T063718Z_visit_care_institution_shortage_priority,47940,경상북도,울릉군,visit_care,institution,shortage_priority,137.5,3.0,0,3.0,21.81818181818182,21.81818181818182,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48720,경상남도,의령군,visit_care,institution,shortage_priority,1658.5,25.0,0,25.0,15.073861923424783,15.073861923424783,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48730,경상남도,함안군,visit_care,institution,shortage_priority,3117.5,59.0,0,59.0,18.92542101042502,18.92542101042502,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48740,경상남도,창녕군,visit_care,institution,shortage_priority,3504.0,49.0,0,49.0,13.984018264840183,13.984018264840183,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48820,경상남도,고성군,visit_care,institution,shortage_priority,2806.5,32.0,0,32.0,11.402102262604668,11.402102262604668,1.4232187397428078,1.4232187397428078,2,2,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48840,경상남도,남해군,visit_care,institution,shortage_priority,3037.0,34.0,0,34.0,11.195258478761936,11.195258478761936,2.1682933592014635,2.1682933592014635,3,3,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48850,경상남도,하동군,visit_care,institution,shortage_priority,3168.5,45.0,0,45.0,14.202303929304087,14.202303929304087,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48860,경상남도,산청군,visit_care,institution,shortage_priority,2599.0,28.0,0,28.0,10.773374374759522,10.773374374759522,2.952056121358119,2.952056121358119,3,3,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48870,경상남도,함양군,visit_care,institution,shortage_priority,2274.0,28.0,0,28.0,12.313104661389621,12.313104661389621,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48880,경상남도,거창군,visit_care,institution,shortage_priority,3058.5,34.0,0,34.0,11.116560405427496,11.116560405427496,2.424341534118433,2.424341534118433,3,3,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,48890,경상남도,합천군,visit_care,institution,shortage_priority,2398.0,24.0,0,24.0,10.008340283569641,10.008340283569641,4.558303416320417,4.558303416320417,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51720,강원특별자치도,홍천군,visit_care,institution,shortage_priority,2163.5,25.0,0,25.0,11.555350127108852,11.555350127108852,0.7655919271097709,0.7655919271097709,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51730,강원특별자치도,횡성군,visit_care,institution,shortage_priority,1679.0,19.0,0,19.0,11.316259678379987,11.316259678379987,0.9955760783994911,0.9955760783994911,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51750,강원특별자치도,영월군,visit_care,institution,shortage_priority,1378.0,18.0,0,18.0,13.062409288824384,13.062409288824384,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51760,강원특별자치도,평창군,visit_care,institution,shortage_priority,1182.5,17.0,0,17.0,14.37632135306554,14.37632135306554,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51770,강원특별자치도,정선군,visit_care,institution,shortage_priority,1063.0,8.0,0,8.0,7.525870178739417,7.525870178739417,4.659498136592413,4.659498136592413,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51780,강원특별자치도,철원군,visit_care,institution,shortage_priority,1157.5,19.0,0,19.0,16.414686825053995,16.414686825053995,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51790,강원특별자치도,화천군,visit_care,institution,shortage_priority,574.5,4.0,0,4.0,6.962576153176675,6.962576153176675,2.8418454181301422,2.8418454181301422,3,3,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51800,강원특별자치도,양구군,visit_care,institution,shortage_priority,555.0,2.0,0,2.0,3.6036036036036037,3.6036036036036037,4.609615678089171,4.609615678089171,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51810,강원특별자치도,인제군,visit_care,institution,shortage_priority,611.0,5.0,0,5.0,8.183306055646481,8.183306055646481,2.2765318546170876,2.2765318546170876,3,3,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51820,강원특별자치도,고성군,visit_care,institution,shortage_priority,838.0,5.0,0,5.0,5.966587112171838,5.966587112171838,4.979924213042748,4.979924213042748,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,51830,강원특별자치도,양양군,visit_care,institution,shortage_priority,1012.0,8.0,0,8.0,7.905138339920948,7.905138339920948,4.05212804725449,4.05212804725449,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52710,전북특별자치도,완주군,visit_care,institution,shortage_priority,3941.0,42.0,0,42.0,10.657193605683837,10.657193605683837,4.93422592315212,4.93422592315212,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52720,전북특별자치도,진안군,visit_care,institution,shortage_priority,1338.5,15.0,0,15.0,11.206574523720583,11.206574523720583,0.9404875407610014,0.9404875407610014,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52730,전북특별자치도,무주군,visit_care,institution,shortage_priority,1095.0,19.0,0,19.0,17.35159817351598,17.35159817351598,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52740,전북특별자치도,장수군,visit_care,institution,shortage_priority,835.0,11.0,0,11.0,13.173652694610778,13.173652694610778,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52750,전북특별자치도,임실군,visit_care,institution,shortage_priority,1597.0,21.0,0,21.0,13.149655604257983,13.149655604257983,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52770,전북특별자치도,순창군,visit_care,institution,shortage_priority,1451.0,19.0,0,19.0,13.094417643004823,13.094417643004823,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,52790,전북특별자치도,고창군,visit_care,institution,shortage_priority,3457.5,34.0,2,36.0,9.833694866232827,10.412147505422993,7.176119291879843,5.176119291879843,8,6,False,False,"1,3",잔여 정수형 필요량 최대
20260727T063718Z_visit_care_institution_shortage_priority,52800,전북특별자치도,부안군,visit_care,institution,shortage_priority,2577.5,35.0,0,35.0,13.579049466537343,13.579049466537343,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,41800,경기도,연천군,visit_care,institution,zero_provider_priority,1694.5,27.0,0,27.0,15.933903806432577,15.933903806432577,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,41820,경기도,가평군,visit_care,institution,zero_provider_priority,2497.5,33.0,0,33.0,13.213213213213212,13.213213213213212,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,41830,경기도,양평군,visit_care,institution,zero_provider_priority,4810.5,74.0,0,74.0,15.383016318470014,15.383016318470014,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43720,충청북도,보은군,visit_care,institution,zero_provider_priority,1853.5,22.0,0,22.0,11.869436201780417,11.869436201780417,0.07373452133023406,0.07373452133023406,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43730,충청북도,옥천군,visit_care,institution,zero_provider_priority,2494.5,29.0,0,29.0,11.625576267789137,11.625576267789137,0.7075428990872759,0.7075428990872759,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43740,충청북도,영동군,visit_care,institution,zero_provider_priority,2642.5,25.0,1,26.0,9.460737937559129,9.839167455061494,6.4701070799110525,5.4701070799110525,7,6,False,False,4,잔여 정수형 필요량 최대
20260727T063718Z_visit_care_institution_zero_provider_priority,43745,충청북도,증평군,visit_care,institution,zero_provider_priority,1208.5,13.0,0,13.0,10.757136946628052,10.757136946628052,1.392289273821195,1.392289273821195,2,2,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43750,충청북도,진천군,visit_care,institution,zero_provider_priority,1967.5,20.0,0,20.0,10.165184243964422,10.165184243964422,3.431385309262062,3.431385309262062,4,4,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43760,충청북도,괴산군,visit_care,institution,zero_provider_priority,1594.0,21.0,0,21.0,13.174404015056462,13.174404015056462,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43770,충청북도,음성군,visit_care,institution,zero_provider_priority,2769.5,32.0,0,32.0,11.55443220797978,11.55443220797978,0.9825776945368645,0.9825776945368645,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,43800,충청북도,단양군,visit_care,institution,zero_provider_priority,1098.5,13.0,0,13.0,11.834319526627219,11.834319526627219,0.08227535564135913,0.08227535564135913,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44710,충청남도,금산군,visit_care,institution,zero_provider_priority,2943.0,44.0,0,44.0,14.950730547060823,14.950730547060823,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44760,충청남도,부여군,visit_care,institution,zero_provider_priority,3443.0,41.0,0,41.0,11.908219575951204,11.908219575951204,0.0034356390288579064,0.0034356390288579064,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44770,충청남도,서천군,visit_care,institution,zero_provider_priority,3164.5,51.0,0,51.0,16.11629009322168,16.11629009322168,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44790,충청남도,청양군,visit_care,institution,zero_provider_priority,1595.0,17.0,0,17.0,10.65830721003135,10.65830721003135,1.9952018136076184,1.9952018136076184,2,2,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44800,충청남도,홍성군,visit_care,institution,zero_provider_priority,4122.0,54.0,0,54.0,13.100436681222707,13.100436681222707,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44810,충청남도,예산군,visit_care,institution,zero_provider_priority,3516.0,46.0,0,46.0,13.083048919226393,13.083048919226393,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,44825,충청남도,태안군,visit_care,institution,zero_provider_priority,2568.0,35.0,0,35.0,13.629283489096572,13.629283489096572,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46710,전라남도,담양군,visit_care,institution,zero_provider_priority,2475.5,28.0,0,28.0,11.310846293678045,11.310846293678045,1.4812677677653063,1.4812677677653063,2,2,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46720,전라남도,곡성군,visit_care,institution,zero_provider_priority,1768.5,18.0,0,18.0,10.178117048346056,10.178117048346056,3.061451039100362,3.061451039100362,4,4,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46730,전라남도,구례군,visit_care,institution,zero_provider_priority,1776.0,16.0,0,16.0,9.00900900900901,9.00900900900901,5.150770169885348,5.150770169885348,6,6,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46770,전라남도,고흥군,visit_care,institution,zero_provider_priority,3853.5,45.0,0,45.0,11.677695601401323,11.677695601401323,0.8921693973272511,0.8921693973272511,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46780,전라남도,보성군,visit_care,institution,zero_provider_priority,2159.5,29.0,0,29.0,13.429034498726558,13.429034498726558,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46790,전라남도,화순군,visit_care,institution,zero_provider_priority,2868.0,50.0,0,50.0,17.433751743375176,17.433751743375176,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46800,전라남도,장흥군,visit_care,institution,zero_provider_priority,2456.5,29.0,0,29.0,11.805414207205374,11.805414207205374,0.2549926364433297,0.2549926364433297,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46810,전라남도,강진군,visit_care,institution,zero_provider_priority,2094.0,20.0,0,20.0,9.551098376313277,9.551098376313277,4.937901315168872,4.937901315168872,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46820,전라남도,해남군,visit_care,institution,zero_provider_priority,3274.0,42.0,0,42.0,12.828344532681736,12.828344532681736,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46830,전라남도,영암군,visit_care,institution,zero_provider_priority,2349.5,29.0,0,29.0,12.343051713130453,12.343051713130453,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46840,전라남도,무안군,visit_care,institution,zero_provider_priority,2945.0,38.0,0,38.0,12.903225806451612,12.903225806451612,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46860,전라남도,함평군,visit_care,institution,zero_provider_priority,2148.0,27.0,0,27.0,12.569832402234638,12.569832402234638,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46870,전라남도,영광군,visit_care,institution,zero_provider_priority,2678.5,35.0,0,35.0,13.06701512040321,13.06701512040321,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46880,전라남도,장성군,visit_care,institution,zero_provider_priority,2492.5,27.0,0,27.0,10.832497492477431,10.832497492477431,2.683724464211277,2.683724464211277,3,3,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46890,전라남도,완도군,visit_care,institution,zero_provider_priority,2575.0,38.0,0,38.0,14.757281553398059,14.757281553398059,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46900,전라남도,진도군,visit_care,institution,zero_provider_priority,1511.5,22.0,0,22.0,14.555077737347005,14.555077737347005,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,46910,전라남도,신안군,visit_care,institution,zero_provider_priority,1939.5,22.0,0,22.0,11.34312967259603,11.34312967259603,1.097927220998102,1.097927220998102,2,2,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47730,경상북도,의성군,visit_care,institution,zero_provider_priority,3596.5,42.0,0,42.0,11.67802029751147,11.67802029751147,0.8315005157616326,0.8315005157616326,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47750,경상북도,청송군,visit_care,institution,zero_provider_priority,1085.5,8.0,0,8.0,7.369875633348688,7.369875633348688,4.9274555289473785,4.9274555289473785,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47760,경상북도,영양군,visit_care,institution,zero_provider_priority,754.0,9.0,0,9.0,11.936339522546419,11.936339522546419,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47770,경상북도,영덕군,visit_care,institution,zero_provider_priority,2183.0,26.0,0,26.0,11.910215300045808,11.910215300045808,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47820,경상북도,청도군,visit_care,institution,zero_provider_priority,2719.5,42.0,0,42.0,15.444015444015445,15.444015444015445,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47830,경상북도,고령군,visit_care,institution,zero_provider_priority,1334.0,20.0,0,20.0,14.992503748125937,14.992503748125937,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47840,경상북도,성주군,visit_care,institution,zero_provider_priority,2043.0,19.0,0,19.0,9.30004894762604,9.30004894762604,5.330531225830949,5.330531225830949,6,6,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47850,경상북도,칠곡군,visit_care,institution,zero_provider_priority,3196.0,49.0,0,49.0,15.331664580725906,15.331664580725906,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47900,경상북도,예천군,visit_care,institution,zero_provider_priority,2676.5,38.0,0,38.0,14.19764617971231,14.19764617971231,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47920,경상북도,봉화군,visit_care,institution,zero_provider_priority,1176.5,10.0,0,10.0,8.499787505312366,8.499787505312366,4.011194315805243,4.011194315805243,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,47930,경상북도,울진군,visit_care,institution,zero_provider_priority,2376.5,21.0,2,23.0,8.836524300441827,9.678098043341047,7.302255241403451,5.302255241403451,8,6,False,False,"2,5",잔여 정수형 필요량 최대
20260727T063718Z_visit_care_institution_zero_provider_priority,47940,경상북도,울릉군,visit_care,institution,zero_provider_priority,137.5,3.0,0,3.0,21.81818181818182,21.81818181818182,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48720,경상남도,의령군,visit_care,institution,zero_provider_priority,1658.5,25.0,0,25.0,15.073861923424783,15.073861923424783,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48730,경상남도,함안군,visit_care,institution,zero_provider_priority,3117.5,59.0,0,59.0,18.92542101042502,18.92542101042502,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48740,경상남도,창녕군,visit_care,institution,zero_provider_priority,3504.0,49.0,0,49.0,13.984018264840183,13.984018264840183,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48820,경상남도,고성군,visit_care,institution,zero_provider_priority,2806.5,32.0,0,32.0,11.402102262604668,11.402102262604668,1.4232187397428078,1.4232187397428078,2,2,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48840,경상남도,남해군,visit_care,institution,zero_provider_priority,3037.0,34.0,0,34.0,11.195258478761936,11.195258478761936,2.1682933592014635,2.1682933592014635,3,3,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48850,경상남도,하동군,visit_care,institution,zero_provider_priority,3168.5,45.0,0,45.0,14.202303929304087,14.202303929304087,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48860,경상남도,산청군,visit_care,institution,zero_provider_priority,2599.0,28.0,0,28.0,10.773374374759522,10.773374374759522,2.952056121358119,2.952056121358119,3,3,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48870,경상남도,함양군,visit_care,institution,zero_provider_priority,2274.0,28.0,0,28.0,12.313104661389621,12.313104661389621,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48880,경상남도,거창군,visit_care,institution,zero_provider_priority,3058.5,34.0,0,34.0,11.116560405427496,11.116560405427496,2.424341534118433,2.424341534118433,3,3,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,48890,경상남도,합천군,visit_care,institution,zero_provider_priority,2398.0,24.0,0,24.0,10.008340283569641,10.008340283569641,4.558303416320417,4.558303416320417,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51720,강원특별자치도,홍천군,visit_care,institution,zero_provider_priority,2163.5,25.0,0,25.0,11.555350127108852,11.555350127108852,0.7655919271097709,0.7655919271097709,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51730,강원특별자치도,횡성군,visit_care,institution,zero_provider_priority,1679.0,19.0,0,19.0,11.316259678379987,11.316259678379987,0.9955760783994911,0.9955760783994911,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51750,강원특별자치도,영월군,visit_care,institution,zero_provider_priority,1378.0,18.0,0,18.0,13.062409288824384,13.062409288824384,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51760,강원특별자치도,평창군,visit_care,institution,zero_provider_priority,1182.5,17.0,0,17.0,14.37632135306554,14.37632135306554,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51770,강원특별자치도,정선군,visit_care,institution,zero_provider_priority,1063.0,8.0,0,8.0,7.525870178739417,7.525870178739417,4.659498136592413,4.659498136592413,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51780,강원특별자치도,철원군,visit_care,institution,zero_provider_priority,1157.5,19.0,0,19.0,16.414686825053995,16.414686825053995,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51790,강원특별자치도,화천군,visit_care,institution,zero_provider_priority,574.5,4.0,0,4.0,6.962576153176675,6.962576153176675,2.8418454181301422,2.8418454181301422,3,3,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51800,강원특별자치도,양구군,visit_care,institution,zero_provider_priority,555.0,2.0,0,2.0,3.6036036036036037,3.6036036036036037,4.609615678089171,4.609615678089171,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51810,강원특별자치도,인제군,visit_care,institution,zero_provider_priority,611.0,5.0,0,5.0,8.183306055646481,8.183306055646481,2.2765318546170876,2.2765318546170876,3,3,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51820,강원특별자치도,고성군,visit_care,institution,zero_provider_priority,838.0,5.0,0,5.0,5.966587112171838,5.966587112171838,4.979924213042748,4.979924213042748,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,51830,강원특별자치도,양양군,visit_care,institution,zero_provider_priority,1012.0,8.0,0,8.0,7.905138339920948,7.905138339920948,4.05212804725449,4.05212804725449,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52710,전북특별자치도,완주군,visit_care,institution,zero_provider_priority,3941.0,42.0,0,42.0,10.657193605683837,10.657193605683837,4.93422592315212,4.93422592315212,5,5,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52720,전북특별자치도,진안군,visit_care,institution,zero_provider_priority,1338.5,15.0,0,15.0,11.206574523720583,11.206574523720583,0.9404875407610014,0.9404875407610014,1,1,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52730,전북특별자치도,무주군,visit_care,institution,zero_provider_priority,1095.0,19.0,0,19.0,17.35159817351598,17.35159817351598,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52740,전북특별자치도,장수군,visit_care,institution,zero_provider_priority,835.0,11.0,0,11.0,13.173652694610778,13.173652694610778,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52750,전북특별자치도,임실군,visit_care,institution,zero_provider_priority,1597.0,21.0,0,21.0,13.149655604257983,13.149655604257983,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52770,전북특별자치도,순창군,visit_care,institution,zero_provider_priority,1451.0,19.0,0,19.0,13.094417643004823,13.094417643004823,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_zero_provider_priority,52790,전북특별자치도,고창군,visit_care,institution,zero_provider_priority,3457.5,34.0,2,36.0,9.833694866232827,10.412147505422993,7.176119291879843,5.176119291879843,8,6,False,False,"1,3",잔여 정수형 필요량 최대
20260727T063718Z_visit_care_institution_zero_provider_priority,52800,전북특별자치도,부안군,visit_care,institution,zero_provider_priority,2577.5,35.0,0,35.0,13.579049466537343,13.579049466537343,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,41800,경기도,연천군,visit_care,institution,vulnerability_priority,1694.5,27.0,0,27.0,15.933903806432577,15.933903806432577,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,41820,경기도,가평군,visit_care,institution,vulnerability_priority,2497.5,33.0,0,33.0,13.213213213213212,13.213213213213212,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,41830,경기도,양평군,visit_care,institution,vulnerability_priority,4810.5,74.0,0,74.0,15.383016318470014,15.383016318470014,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43720,충청북도,보은군,visit_care,institution,vulnerability_priority,1853.5,22.0,0,22.0,11.869436201780417,11.869436201780417,0.07373452133023406,0.07373452133023406,1,1,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43730,충청북도,옥천군,visit_care,institution,vulnerability_priority,2494.5,29.0,0,29.0,11.625576267789137,11.625576267789137,0.7075428990872759,0.7075428990872759,1,1,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43740,충청북도,영동군,visit_care,institution,vulnerability_priority,2642.5,25.0,0,25.0,9.460737937559129,9.460737937559129,6.4701070799110525,6.4701070799110525,7,7,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43745,충청북도,증평군,visit_care,institution,vulnerability_priority,1208.5,13.0,0,13.0,10.757136946628052,10.757136946628052,1.392289273821195,1.392289273821195,2,2,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43750,충청북도,진천군,visit_care,institution,vulnerability_priority,1967.5,20.0,0,20.0,10.165184243964422,10.165184243964422,3.431385309262062,3.431385309262062,4,4,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43760,충청북도,괴산군,visit_care,institution,vulnerability_priority,1594.0,21.0,0,21.0,13.174404015056462,13.174404015056462,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43770,충청북도,음성군,visit_care,institution,vulnerability_priority,2769.5,32.0,0,32.0,11.55443220797978,11.55443220797978,0.9825776945368645,0.9825776945368645,1,1,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,43800,충청북도,단양군,visit_care,institution,vulnerability_priority,1098.5,13.0,0,13.0,11.834319526627219,11.834319526627219,0.08227535564135913,0.08227535564135913,1,1,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44710,충청남도,금산군,visit_care,institution,vulnerability_priority,2943.0,44.0,0,44.0,14.950730547060823,14.950730547060823,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44760,충청남도,부여군,visit_care,institution,vulnerability_priority,3443.0,41.0,0,41.0,11.908219575951204,11.908219575951204,0.0034356390288579064,0.0034356390288579064,1,1,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44770,충청남도,서천군,visit_care,institution,vulnerability_priority,3164.5,51.0,0,51.0,16.11629009322168,16.11629009322168,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44790,충청남도,청양군,visit_care,institution,vulnerability_priority,1595.0,17.0,0,17.0,10.65830721003135,10.65830721003135,1.9952018136076184,1.9952018136076184,2,2,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44800,충청남도,홍성군,visit_care,institution,vulnerability_priority,4122.0,54.0,0,54.0,13.100436681222707,13.100436681222707,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44810,충청남도,예산군,visit_care,institution,vulnerability_priority,3516.0,46.0,0,46.0,13.083048919226393,13.083048919226393,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,44825,충청남도,태안군,visit_care,institution,vulnerability_priority,2568.0,35.0,0,35.0,13.629283489096572,13.629283489096572,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,46710,전라남도,담양군,visit_care,institution,vulnerability_priority,2475.5,28.0,0,28.0,11.310846293678045,11.310846293678045,1.4812677677653063,1.4812677677653063,2,2,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,46720,전라남도,곡성군,visit_care,institution,vulnerability_priority,1768.5,18.0,0,18.0,10.178117048346056,10.178117048346056,3.061451039100362,3.061451039100362,4,4,False,False,,
20260727T063718Z_visit_care_institution_vulnerability_priority,46730,전라남도,구례군,visit_care,institution,vulnerability_priority,1776.0,16.0,0,16.0,9.00900900900901,9.00900900900901,5.150770169885348,5.150770169885348,6,6,False,False,,
